Apatite,"TF,100","TF,30","TF,10","TC,1","TC,10","TC,100","TA,1","TA,10","TA,100","lm,low-T","lm,FC"
HS,72.3,81.0,89.1,70.1,86.7,104.6,91.3,108.7,127.0,,
RN,80.6,89.4,97.6,81.7,99.0,117.7,99.7,117.3,135.7,14.61,
SC,83.8,92.6,100.9,84.1,101.5,120.2,103.0,120.7,139.1,14.43,
OL,85.1,93.9,102.2,84.0,101.3,120.0,104.3,122.0,140.4,14.70,
WK,85.8,94.7,102.9,86.3,103.8,122.7,105.0,122.7,141.2,14.42,
UN,86.3,95.1,103.4,85.1,102.5,121.2,105.5,123.2,141.7,14.54,
PQ,89.8,98.7,107.0,87.9,105.4,124.2,109.1,126.8,145.4,14.21,
DR,92.2,101.1,109.4,94.3,112.3,131.5,111.5,129.3,147.9,,
AY,93.3,102.3,110.6,93.9,111.8,130.9,112.7,130.5,149.1,,
FC,121.9,131.1,139.7,112.9,131.2,150.8,141.6,159.9,179.1,,
KP,125.5,134.7,143.3,117.2,135.7,155.4,145.2,163.6,182.8,,15.14
B3,129.5,138.8,147.5,111.5,129.6,148.9,149.3,167.8,187.0,,
TI,196.9,206.7,215.8,145.9,164.6,184.6,217.3,236.7,256.8,,
PC,208.3,218.1,227.3,156.6,175.7,195.9,228.8,248.3,268.6,,
B2,217.2,227.2,236.4,160.8,180.0,200.2,237.8,257.4,277.8,,
